KCAL	SODI	SUGR	FF	TFAT	PFAT	CHL	ATOC	ATOA	RET	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	NIAC	FDFE	ZINC	B12A	VC	VD	CALC	POTA	CAFF	THEO	ALCO	MOIS	S140	S100	S120	M201	M221	P226	P225
6369.5	9960	359.245	532	252.065	38.4805	1268.2	26.765	3.8	1825	2210	249	4153	680.5	16900.5	1807.5	52.33	96.7565	1830.5	59.22	7.785	388.7	10.35	2737	8250.5	6.5	234	12.6	5079.03	9.311	1.927	4.268	0.789	0.0565	0.066	0.081
3320.5	3341.5	240.5	232.5	136.995	24.3435	516	18.665	4.69	1183	1194	13	129	13	0	942	22.12	39.626	934	16.995	2.47	78.95	9.55	1761.5	3279.5	22.5	121.5	0	2575.825	5.1265	1.26	2.2015	0.69	0.0435	0.03	0.016
2836.5	4709	123.595	299.5	140.585	29.4765	515.95	11.955	0	663.5	916	35.5	2925.5	121.5	2724.5	1760.5	21.31	31.8905	1473	16.65	0	87.8	6.3	1513	2581.5	11	0	0	3454.25	4.9765	1.148	1.7085	0.393	0.0295	0.054	0.0365
622.5	1106.5	15.535	46.5	30.08	3.806	116.35	2.43	0	153.5	231.5	102.5	884.5	4.5	2605	296.5	5.14	8.003	124	8.695	0	18.15	1.6	689	800	0.5	17.5	0	1630.19	1.579	0.3705	0.463	0.039	5e-04	0.0015	0.018
1134.5	809	82.795	579.5	43.275	14.041	181.75	13.19	0	5	1316.5	151	15587	160	772	15183	10.425	9.403	586.5	5.3	0	248.75	1	806	3726	0.5	12.5	0	3390.945	0.093	0.0355	0.021	0.0645	0.0025	0	0
2084	3615.5	76.745	250	102.88	32.887	412.05	19.875	3.115	543	771	19	2669.5	104.5	7123.5	2373.5	16.83	29.448	632.5	9.905	1.425	93.05	6.35	953.5	2574.5	383	71	0	3913.52	1.3185	0.299	0.4125	0.3305	0.0445	0.0455	0.0155
2209.5	4987.5	36.635	123	121.335	40.3035	418	10.47	0	318.5	330	21.5	115	7	0	196.5	15.875	33.039	515	8.62	1.105	5.9	9.1	482.5	2176	41.5	0	0	964.93	0.894	0.159	0.171	0.6535	0.0135	0.235	0.0865
1182.5	1909.5	26.905	131	46.515	6.5755	168.05	2.84	0	318	332.5	0	165	5.5	1983.5	223	8.06	9.3685	473	4.625	0	22.8	1.3	870	1003.5	96	3.5	0	4427.515	2.6895	0.73	0.83	0.0825	0.001	0.0165	0.0075
1308.5	1811.5	99.83	31	39.16	5.596	158.55	2.83	0	198	216	7	205.5	13.5	667.5	123.5	6.415	12.444	239	6.865	0	9.7	3.65	519.5	1241.5	22.5	4.5	0	1276.215	0.8235	0.1725	0.2095	0.0895	0.001	0.0065	0.012
1452.5	2621	82.46	134.5	45.06	7.3775	410.35	5.815	0	296	316	36	216	45	1283.5	260.5	9.7	30.1945	311	10.785	0	96.75	24.55	835.5	2813	3	92	0	1739.05	0.8425	0.054	0.171	0.8745	0.085	0.6105	0.097
1430.5	2076	111.905	58.5	37.01	15.9785	401.2	18.665	13.175	1569	3613.5	6246	21386.5	6.5	295.5	2586.5	22.41	26.4005	765	18.08	5.89	173	10.9	1356.5	2908	0	0	0	1208.07	0.216	0.0585	0.0635	0.1335	0	0	0.0135
